名前（フル）	姓	名	名前読み（フル）	姓読み	名読み	属性	メモ	備考
松永依織	松永	依織	まつながいおり	まつなが	いおり	RiotMusic		
水奏レステ	水奏	レステ	みかなれすて	みかな	れすて	RiotMusic		
蜜乃木ジル	蜜乃木	ジル	みつのきじる	みつのき	じる	RiotMusic		
ミナミイズミ	ミナミ	イズミ	みなみいずみ	みなみ	いずみ	RiotMusic		
宮島ルシェル	宮島	ルシェル	みやじまるしぇる	みやじま	るしぇる	RiotMusic		
メーメントヴァニタス		メーメントヴァニタス	めーめんとゔぁにたす		めーめんとゔぁにたす	RiotMusic		
矢毒けろる	矢毒	けろる	やどくけろる	やどく	けろる	RiotMusic		
游禅ウラト	游禅	ウラト	ゆうぜんうらと	ゆうぜん	うらと	RiotMusic		
青月レミア	青月	レミア	あおつきれみあ	あおつき	れみあ	VspoEN	Reimia Aotsuki	
梅園ジュノ	梅園	ジュノ	うめぞのじゅの	うめぞの	じゅの	VspoEN	Juno Umezono	
黒刃アリヤ	黒刃	アリヤ	くろはありや	くろは	ありや	VspoEN	Arya Kuroha	
地崎ジラ	地崎	ジラ	じさきじら	じさき	じら	VspoEN	Jira Jisaki	
涼上エリス	涼上	エリス	すずかみえりす	すずかみ	えりす	VspoEN	Eris Suzukami	
ソラリ・リコ	ソラリ	リコ	そらりりこ	そらり	りこ	VspoEN	Riko Solari	
美暮ナリン	美暮	ナリン	みくれなりん	みくれ	なりん	VspoEN	Narin Mikure	
藍沢エマ	藍沢	エマ	あいざわえま	あいざわ	えま	VspoJP		
空澄セナ	空澄	セナ	あすみせな	あすみ	せな	VspoJP		
甘結もか	甘結	もか	あまゆいもか	あまゆい	もか	VspoJP		
一ノ瀬うるは	一ノ瀬	うるは	いちのせうるは	いちのせ	うるは	VspoJP		
花芽すみれ	花芽	すみれ	かがすみれ	かが	すみれ	VspoJP		
花芽なずな	花芽	なずな	かがなずな	かが	なずな	VspoJP		
神成きゅぴ	神成	きゅぴ	かみなりきゅぴ	かみなり	きゅぴ	VspoJP		
如月れん	如月	れん	きさらぎれん	きさらぎ	れん	VspoJP		
銀城サイネ	銀城	サイネ	ぎんじょうさいね	ぎんじょう	さいね	VspoJP		
胡桃のあ	胡桃	のあ	くるみのあ	くるみ	のあ	VspoJP		
小雀とと	小雀	とと	こがらとと	こがら	とと	VspoJP		
小森めと	小森	めと	こもりめと	こもり	めと	VspoJP		
紫宮るな	紫宮	るな	しのみやるな	しのみや	るな	VspoJP		
白波らむね	白波	らむね	しらなみらむね	しらなみ	らむね	VspoJP		
千燈ゆうひ	千燈	ゆうひ	せんどうゆうひ	せんどうゆうひ		VspoJP		
橘ひなの	橘	ひなの	たちばなひなの	たちばな	ひなの	VspoJP	ひなーの	
龍巻ちせ	龍巻	ちせ	たつまきちせ	たつまき	ちせ	VspoJP		
蝶屋はなび	蝶屋	はなび	ちょうやはなび	ちょうや	はなび	VspoJP		
紡木こかげ	紡木	こかげ	つむぎこかげ	つむぎ	こかげ	VspoJP		
兎咲ミミ	兎咲	ミミ	とさきみみ	とさき	みみ	VspoJP		
猫汰つな	猫汰	つな	ねこたつな	ねこた	つな	VspoJP		
英リサ	英	リサ	はなぶさりさ	はなぶさ	りさ	VspoJP		
八雲べに	八雲	べに	やくもべに	やくも	べに	VspoJP		
夜乃くろむ	夜乃	くろむ	やのくろむ	やの	くろむ	VspoJP		
夢野あかり	夢野	あかり	ゆめのあかり	ゆめの	あかり	VspoJP		
甘成じゅい	甘成	じゅい	あまなりじゅい	あまなり	じゅい	ゆにれいど		
卯埜らび	卯埜	らび	うのらび	うの	らび	ゆにれいど		
扇名いだ	扇名	いだ	おうぎないだ	おうぎな	いだ	ゆにれいど		
火狩夜れんま	火狩夜	れんま	かがりやれんま	かがりや	れんま	ゆにれいど		
神白ななせ	神白	ななせ	かみしろななせ	かみしろ	ななせ	ゆにれいど		
グラニット		グラニット	グラニット		グラニット	ゆにれいど		
黒花蘭	黒花	蘭	くろばならん	くろばな	らん	ゆにれいど		
群青ロマン	群青	ロマン	ぐんじょうろまん	ぐんじょう	ろまん	ゆにれいど		
コンプサウルス		コンプサウルス	こんぷさうるす		こんぷさうるす	ゆにれいど		
坂本こん	坂本	こん	さかもとこん	さかもと	こん	ゆにれいど		
翠星アスト	翠星	アスト	すいぼしあすと	すいぼし	あすと	ゆにれいど		
聖ルナティア		聖ルナティア	せいるなてぃあ		せいるなてぃあ	ゆにれいど		
時羽しう	時羽	しう	ときはしう	ときは	しう	ゆにれいど		
鳴子ライチ	鳴子	ライチ	なるこらいち	なるこ	らいち	ゆにれいど		
花ノ木まる	花ノ木	まる	はなのきまる	はなのき	まる	ゆにれいど		
氷乃渚	氷乃	渚	ひのなぎさ	ひの	なぎさ	ゆにれいど		
水上蒼太	水上	蒼太	みずかみそうた	みずかみ	そうた	ゆにれいど		
望月ほぐの	望月	ほぐの	もちづきほぐの	もちづき	ほぐの	ゆにれいど	ほぐほぐ	
おなつのにびたし		おなつのにびたし	おなつのにびたし		おなつのにびたし	個人勢	おなつ	
しぐれうい	しぐれ	うい	しぐれうい	しぐれ	うい	個人勢	6さい	
天開司	天開	司	てんかいつかさ	てんかい	つかさ	個人勢		
初凪なの	初凪	なの	はつなぎなの	はつなぎ	なの	個人勢	目隠し坂本	
ふぇありす		ふぇありす	ふぇありす		ふぇありす	個人勢		
